Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/46376/;Небесный тихоход;no eng title;1945;83;СССР;комедия;Семен Тимошенко;Николай Крючков, Василий Меркурьев;8,1;30509
https://www.kinopoisk.ru//film/46377/;Небо Москвы;no eng title;1944;88;СССР;драма;Юлий Райзман;Петр Алейников, Николай Боголюбов;6,1;473
https://www.kinopoisk.ru//film/46406/;Непокоренные;no eng title;1945;95;СССР;драма;Марк Донской;Амвросий Бучма, Вениамин Зускин;6,4;469
https://www.kinopoisk.ru//film/501990/;Нет неизвестных солдат;no eng title;1965;89;СССР;военный;Суламифь Цыбульник;Наталья Рычагова, Павел Иванов;6,2;727
https://www.kinopoisk.ru//film/46444/;Нина;no eng title;1971;82;СССР;драма;Алексей Швачко;Ирина Завадская, Валерий Зубарев;6,2;854
https://www.kinopoisk.ru//film/46463/;Нормандия — Неман;no eng title;1960;114;Франция;драма;Жан Древиль;Пьер Трабо, Ролан Менар;7,2;1723
https://www.kinopoisk.ru//film/44505/;Ну и молодежь!;no eng title;1969;100;СССР;драма;Резо Чхеидзе;Лейла Кипиани, Каха Коридзе;6,2;299
https://www.kinopoisk.ru//film/42687/;О тех, кого помню и люблю;no eng title;1973;80;СССР;драма;Наталья Трощенко;Валерий Золотухин, Екатерина Васильева;6,8;1006
https://www.kinopoisk.ru//series/422992/;Обратной дороги нет;no eng title;1970;205;СССР;военный;Григорий Липшиц;Николай Олялин, Николай Мерзликин;8,2;7863
https://www.kinopoisk.ru//film/42719/;Один шанс из тысячи;no eng title;1968;81;СССР;приключения;Леон Кочарян;Анатолий Солоницын, Александр Фадеев;6,4;1403
https://www.kinopoisk.ru//film/42732/;Однажды ночью;no eng title;1944;73;СССР;драма;Борис Барнет;Борис Андреев, Иван Кузнецов;6,3;427
https://www.kinopoisk.ru//film/42767/;Она защищает Родину;no eng title;1943;74;СССР;драма;Фридрих Эрмлер;Вера Марецкая, Николай Боголюбов;6,8;962
https://www.kinopoisk.ru//film/42770/;Они сражались за Родину;no eng title;1975;160;СССР;драма;Сергей Бондарчук;Василий Шукшин, Вячеслав Тихонов;8,5;201767
https://www.kinopoisk.ru//film/1641/;Они шли на Восток;no eng title;1964;156;Италия;драма;Джузеппе Де Сантис;Артур Кеннеди, Жанна Прохоренко;6,9;962
https://www.kinopoisk.ru//film/392540/;Освобождение: Битва за Берлин;no eng title;1971;86;СССР;военный;Юрий Озеров;Михаил Ульянов, Фриц Диц;8,2;20307
https://www.kinopoisk.ru//film/46318/;Освобождение: Направление главного удара;no eng title;1970;123;СССР;драма;Юрий Озеров;Михаил Ульянов, Владлен Давыдов;8,2;22635
https://www.kinopoisk.ru//film/94296/;Освобождение: Огненная дуга;no eng title;1968;93;СССР;драма;Юрий Озеров;Михаил Ульянов, Николай Олялин;8,3;35996
