Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/255611/;Искупление;Atonement;2007;120;Великобритания;драма;Джо Райт;Кира Найтли, Джеймс МакЭвой;8,0;203223
https://www.kinopoisk.ru//film/1334852/;Сто лет тому вперёд;no eng title;0;0;Россия;фантастика;Александр Андрющенко;Даша Верещагина, Марк Эйдельштейн;0;0
https://www.kinopoisk.ru//film/1272246/;Последний богатырь: Посланник Тьмы;no eng title;2021;108;Россия;приключения;Дмитрий Дьяченко;Виктор Хориняк, Мила Сивацкая;0;256721
https://www.kinopoisk.ru//film/6034/;Невероятная жизнь Уолтера Митти;The Secret Life of Walter Mitty;2013;114;США;комедия;Бен Стиллер;Бен Стиллер, Кристен Уиг;7,7;291621
https://www.kinopoisk.ru//film/105948/;Скотт Пилигрим против всех;Scott Pilgrim vs. the World;2010;112;США;фэнтези;Эдгар Райт;Майкл Сера, Мэри Элизабет Уинстэд;7,3;222486
https://www.kinopoisk.ru//film/718811/;Прибытие;Arrival;2016;116;США;фантастика;Дени Вильнёв;Эми Адамс, Джереми Реннер;7,6;342904
https://www.kinopoisk.ru//film/595/;Астерикс и Обеликс: Миссия Клеопатра;Astrix & Oblix: Mission Cloptre;2002;107;Франция;фэнтези;Ален Шаба;Жерар Депардье, Кристиан Клавье;7,3;157035
https://www.kinopoisk.ru//film/5167/;Эффект бабочки;The Butterfly Effect;2003;113;США;фантастика;Эрик Бресс;Эштон Кутчер, Эми Смарт;8,2;490776
https://www.kinopoisk.ru//film/64021/;Зомби по имени Шон;Shaun of the Dead;2004;100;Великобритания;ужасы;Эдгар Райт;Саймон Пегг, Ник Фрост;7,4;129913
https://www.kinopoisk.ru//film/1219852/;Думаю, как всё закончить;I'm Thinking of Ending Things;2020;134;США;драма;Чарли Кауфман;Джесси Племонс, Джесси Бакли;0;17902
https://www.kinopoisk.ru//film/1354421/;Бюро магических услуг;The Portable Door;2021;117;Австралия;фэнтези;Джеффри Уокер;Кристоф Вальц, Патрик Гибсон;0;7961
https://www.kinopoisk.ru//film/837552/;Сделано в Америке;American Made;2017;115;США;боевик;Даг Лайман;Том Круз, Донал Глисон;7,3;154209
https://www.kinopoisk.ru//film/517988/;Время;In Time;2011;109;США;фантастика;Эндрю Никкол;Джастин Тимберлейк, Аманда Сайфред;7,3;491136
https://www.kinopoisk.ru//film/41520/;Брат 2;no eng title;2000;127;Россия;боевик;Алексей Балабанов;Сергей Бодров мл., Виктор Сухоруков;8,2;859461
https://www.kinopoisk.ru//film/350/;Славные парни;Goodfellas;1990;140;США;драма;Мартин Скорсезе;Роберт Де Ниро, Рэй Лиотта;8,1;190340
https://www.kinopoisk.ru//film/417583/;Джек Ричер;Jack Reacher;2012;130;США;боевик;Кристофер Маккуорри;Том Круз, Розамунд Пайк;7,2;241980
https://www.kinopoisk.ru//film/4676639/;Русский крест;no eng title;2023;80;Россия;драма;Эдуард Бояков;Михаил Пореченков, Полина Чернышова;7,7;8648
https://www.kinopoisk.ru//film/485311/;Король говорит!;The King's Speech;2010;118;Великобритания;драма;Том Хупер;Колин Фёрт, Джеффри Раш;8,0;348130
https://www.kinopoisk.ru//film/582101/;Дивергент;Divergent;2014;134;США;фантастика;Нил Бёргер;Шейлин Вудли, Тео Джеймс;0;396941
https://www.kinopoisk.ru//film/195524/;Я — легенда;I Am Legend;2007;96;США;ужасы;Фрэнсис Лоуренс;Уилл Смит, Алиси Брага;7,9;474925
https://www.kinopoisk.ru//film/322/;Гарри Поттер и узник Азкабана;Harry Potter and the Prisoner of Azkaban;2004;142;Великобритания;фэнтези;Альфонсо Куарон;Дэниэл Рэдклифф, Руперт Гринт;8,2;616346
https://www.kinopoisk.ru//film/1177510/;Гангстер, коп и дьявол;Akinjeon;2019;110;Корея;триллер;Ли Вон-тхэ;Ма Дон-сок, Ким Му-ёль;7,3;155656
https://www.kinopoisk.ru//film/1272469/;Король Ричард;King Richard;2021;144;США;биография;Рейнальдо Маркус Грин;Уилл Смит, Онжаню Эллис;7,6;65465
https://www.kinopoisk.ru//film/273302/;Мгла;The Mist;2007;126;США;ужасы;Фрэнк Дарабонт;Томас Джейн, Марша Гей Харден;7,6;210231
https://www.kinopoisk.ru//film/1015471/;Райя и последний дракон;Raya and the Last Dragon;2021;107;США;мультфильм;Дон Холл;Келли Мари Трэн, Аквафина;8,1;400244
https://www.kinopoisk.ru//film/5126797/;Я на перемотке!;no eng title;2022;89;Россия;комедия;Никита Владимиров;Андрей Бурковский, Ксения Теплова;7,6;140209
https://www.kinopoisk.ru//film/454522/;Ешь, молись, люби;Eat Pray Love;2010;134;США;драма;Райан Мерфи;Джулия Робертс, Хавьер Бардем;0;145535
